                     OI-7500 Modbus Register Map,,,,,,,
"Register Address
(Hexadecimal)",Register Address (Decimal),"

Data Description",,"

R/W",Length (In Bits),"

Units","

Valid Response"
4F,79,Channel 24 Reading,,R,32,FLOAT,Any valid sensor reading
51,81,Channel 25 Reading,,R,32,FLOAT,Any valid sensor reading
53,83,Channel 26 Reading,,R,32,FLOAT,Any valid sensor reading
55,85,Channel 27 Reading,,R,32,FLOAT,Any valid sensor reading
57,87,Channel 28 Reading,,R,32,FLOAT,Any valid sensor reading
59,89,Channel 29 Reading,,R,32,FLOAT,Any valid sensor reading
5B,91,Channel 30 Reading,,R,32,FLOAT,Any valid sensor reading
5D,93,Channel 31 Reading,,R,32,FLOAT,Any valid sensor reading
5F,95,Channel 32 Reading,,R,32,FLOAT,Any valid sensor reading
61,97,Channel 1 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
62,98,Channel 2 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
63,99,Channel 3 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
64,100,Channel 4 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
65,101,Channel 5 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
66,102,Channel 6 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
67,103,Channel 7 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
68,104,Channel 8 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
69,105,Channel 9 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
6A,106,Channel 10 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
6B,107,Channel 11 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
6C,108,Channel 12 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
6D,109,Channel 13 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
6E,110,Channel 14 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
6F,111,Channel 15 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
70,112,Channel 16 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
71,113,Channel 17 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
72,114,Channel 18 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
73,115,Channel 19 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
74,116,Channel 20 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
75,117,Channel 21 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
76,118,Channel 22 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
77,119,Channel 23 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
78,120,Channel 24 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
79,121,Channel 25 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
7A,122,Channel 26 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
7B,123,Channel 27 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
7C,124,Channel 28 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
7D,125,Channel 29 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
7E,126,Channel 30 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
7F,127,Channel 31 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
80,128,Channel 32 Mode,,R,16,ENUMERATION,0-7  See Mode Enumeration Below
81,129,Channel 1 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
83,131,Channel 2 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
85,133,Channel 3 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
87,135,Channel 4 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
89,137,Channel 5 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
8B,139,Channel 6 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
8D,141,Channel 7 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
8F,143,Channel 8 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
91,145,Channel 9 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
93,147,Channel 10 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
95,149,Channel 11 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
97,151,Channel 12 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
99,153,Channel 13 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
9B,155,Channel 14 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
9D,157,Channel 15 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
9F,159,Channel 16 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
A1,161,Channel 17 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
A3,163,Channel 18 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
A5,165,Channel 19 Battery ,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
A7,167,Channel 20 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
A9,169,Channel 21 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
AB,171,Channel 22 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
AD,173,Channel 23 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
AF,175,Channel 24 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
B1,177,Channel 25 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
B3,179,Channel 26 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
B5,181,Channel 27 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
B7,183,Channel 28 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
B9,185,Channel 29 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
BB,187,Channel 30 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
BD,189,Channel 31 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
BF,191,Channel 32 Battery,,R,32,FLOAT,Sensor Input Voltage( >= 0.0)
C1,193,Channel 1 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
C2,194,Channel 2 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
C3,195,Channel 3 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
C4,196,Channel 4 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
C5,197,Channel 5 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
C6,198,Channel 6 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
C7,199,Channel 7 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
C8,200,Channel 8 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
C9,201,Channel 9 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
CA,202,Channel 10 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
CB,203,Channel 11 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
CC,204,Channel 12 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
CD,205,Channel 13 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
CE,206,Channel 14 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
CF,207,Channel 15 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D0,208,Channel 16 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D1,209,Channel 17 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D2,210,Channel 18 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D3,211,Channel 19 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D4,212,Channel 20 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D5,213,Channel 21 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D6,214,Channel 22 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D7,215,Channel 23 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D8,216,Channel 24 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
D9,217,Channel 25 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
DA,218,Channel 26 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
DB,219,Channel 27 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
DC,220,Channel 28 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
DD,221,Channel 29 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
DE,222,Channel 30 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
DF,223,Channel 31 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
E0,224,Channel 32 Sec Since Last Message,,R,16,INTEGER,"-1-32768 Secs, -1 = never. Staying 0 = timeout"
E1,225,Channel 1 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
E2,226,Channel 2 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
E3,227,Channel 3 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
E4,228,Channel 4 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
E5,229,Channel 5 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
E6,230,Channel 6 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
E7,231,Channel 7 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
E8,232,Channel 8 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
E9,233,Channel 9 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
EA,234,Channel 10 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
EB,235,Channel 11 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
EC,236,Channel 12 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
ED,237,Channel 13 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
EE,238,Channel 14 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
EF,239,Channel 15 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F0,240,Channel 16 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F1,241,Channel 17 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F2,242,Channel 18 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F3,243,Channel 19 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F4,244,Channel 20 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F5,245,Channel 21 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F6,246,Channel 22 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F7,247,Channel 23 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F8,248,Channel 24 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
F9,249,Channel 25 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
FA,250,Channel 26 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
FB,251,Channel 27 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
FC,252,Channel 28 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
FD,253,Channel 29 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
FE,254,Channel 30 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
FF,255,Channel 31 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
100,256,Channel 32 Sensor Type,,R,16,ENUMERATION,0-31  See Sensor Type Enumeration Below
101,257,Channel 1 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
102,258,Channel 2 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
103,259,Channel 3 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
104,260,Channel 4 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
105,261,Channel 5 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
106,262,Channel 6 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
107,263,Channel 7 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
108,264,Channel 8 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
109,265,Channel 9 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
10A,266,Channel 10 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
10B,267,Channel 11 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
10C,268,Channel 12 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
10D,269,Channel 13 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
10E,270,Channel 14 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
10F,271,Channel 15 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
110,272,Channel 16 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
111,273,Channel 17 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
112,274,Channel 18 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
113,275,Channel 19 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
114,276,Channel 20 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
115,277,Channel 21 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
116,278,Channel 22 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
117,279,Channel 23 Gas type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
118,280,Channel 24 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
119,281,Channel 25 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
11A,282,Channel 26 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
11B,283,Channel 27 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
11C,284,Channel 28 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
11D,285,Channel 29 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
11E,286,Channel 30 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
11F,287,Channel 31 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
120,288,Channel 32 Gas Type,,R,16,ENUMERATION,0-127 See Gas Enumeration below
121,289,Channel 1 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
122,290,Channel 2 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
123,291,Channel 3 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
124,292,Channel 4 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
125,293,Channel 5 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
126,294,Channel 6 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
127,295,Channel 7 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
128,296,Channel 8 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
129,297,Channel 9 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
12A,298,Channel 10 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
12B,299,Channel 11 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
12C,300,Channel 12 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
12D,301,Channel 13 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
12E,302,Channel 14 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
12F,303,Channel 15 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
130,304,Channel 16 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
131,305,Channel 17 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
132,306,Channel 18 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
133,307,Channel 19 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
134,308,Channel 20 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
135,309,Channel 21 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
136,310,Channel 22 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
137,311,Channel 23 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
138,312,Channel 24 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
139,313,Channel 25 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
13A,314,Channel 26 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
13B,315,Channel 27 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
13C,316,Channel 28 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
13D,317,Channel 29 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
13E,318,Channel 30 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
13F,319,Channel 31 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
140,320,Channel 32 Fault,,R,16,ENUMERATION,0-15 See Fault Enumeration below
141,321,Channel 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
142,322,Channel 2 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
143,323,Channel 3 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
144,324,Channel 4 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
145,325,Channel 5 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
146,326,Channel 6 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
147,327,Channel 7 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
148,328,Channel 8 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
149,329,Channel 9 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
14A,330,Channel 10 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
14B,331,Channel 11 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
14C,332,Channel 12 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
14D,333,Channel 13 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
14E,334,Channel 14 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
14F,335,Channel 15 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
150,336,Channel 16 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
151,337,Channel 17 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
152,338,Channel 18 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
153,339,Channel 19 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
154,340,Channel 20 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
155,341,Channel 21 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
156,342,Channel 22 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
157,343,Channel 23 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
158,344,Channel 24 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
159,345,Channel 25 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
15A,346,Channel 26 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
15B,347,Channel 27 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
15C,348,Channel 28 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
15D,349,Channel 29 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
15E,350,Channel 30 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
15F,351,Channel 31 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
160,352,Channel 32 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
161,353,Channel 1 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
162,354,Channel 2 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
163,355,Channel 3 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
164,356,Channel 4 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
165,357,Channel 5 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
166,358,Channel 6 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
167,359,Channel 7 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
168,360,Channel 8 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
169,361,Channel 9 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
16A,362,Channel 10 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
16B,363,Channel 11 Relay 1 On/Off,,R/W,16,ENUMERATION,"0 – 1, 0 means off, 1 means on"
